rating,renterTripsTaken,reviewCount,location.latitude,location.longitude,owner.id,rate.daily,vehicle.year
5.0,13,12,47.449107,-122.308841,12847615,135,2019
5.0,2,1,35.11106,-106.276551,15621242,190,2018
4.92,28,24,35.127163,-106.566681,10199256,35,2012
5.0,21,20,35.149726,-106.711425,9365496,75,2018
5.0,3,1,35.208659,-106.601008,3553565,47,2010
5.0,13,12,35.068834,-106.576111,7815747,58,2012
4.42,13,12,35.045552,-106.633815,3112016,42,2005
4.9,12,10,35.186542,-106.686481,9536762,117,2018
5.0,1,1,35.061213,-106.629406,14893743,102,2016
4.76,22,17,35.115363,-106.556911,11389136,49,2018
4.95,23,22,35.148891,-106.71102,9365496,75,2012
4.7,11,10,35.121564,-106.598445,10199256,35,2012
5.0,11,7,35.078547,-106.497368,9346980,88,2018
4.92,51,38,35.186381,-106.727808,3070318,42,2013
4.88,61,56,35.161777,-106.535379,3092621,42,2011
4.5,2,2,35.108365,-106.598589,14428787,65,2014
0.0,0,0,35.115653,-106.578805,1889102,42,2018
5.0,23,20,35.161964,-106.535441,3092621,116,2007
4.67,5,3,35.049006,-106.617357,4112693,119,2018
5.0,24,19,35.597391,-106.040869,1603416,80,2019
4.5,4,2,35.190108,-106.747581,8860306,97,2012
4.92,70,52,35.153704,-106.67937,911080,41,2016
5.0,3,1,35.213677,-106.724059,1269071,171,2015
4.72,20,18,35.648967,-106.046019,6744409,50,2014
4.85,61,46,35.597415,-106.042253,1603416,49,2019
4.82,18,11,35.648514,-106.045212,6744409,39,2016
4.8,63,54,35.223908,-106.675636,293620,28,2010
5.0,21,19,35.163908,-106.577477,2565503,32,2015
5.0,21,20,35.164391,-106.577068,2565503,28,2010
0.0,0,0,33.50852,-82.236315,14680097,125,2018
5.0,3,3,33.534464,-82.120888,7697716,112,2016
5.0,21,19,33.367664,-81.966226,11515981,87,2016
5.0,9,8,33.368491,-81.96643,11515981,47,2019
5.0,9,8,33.483601,-82.110307,14931796,42,2019
5.0,5,3,33.545897,-82.197674,9709583,130,2015
5.0,1,1,33.513423,-82.027434,15162374,115,2015
4.5,3,2,33.501183,-81.907672,2842845,85,2015
4.58,27,19,33.653209,-84.492165,7697843,24,2010
5.0,52,44,33.640717,-84.42758,6025007,144,2016
4.83,8,6,33.903748,-84.280355,53029,146,2020
4.94,34,33,33.653768,-84.492429,7868475,125,2017
5.0,12,10,33.906905,-83.960234,1295660,175,2015
5.0,2,2,33.891295,-84.453929,12796797,200,2018
4.93,18,14,33.903877,-84.277873,53029,98,2019
0.0,0,0,28.082946,-82.542147,14752326,96,2018
4.89,94,80,33.927403,-84.342767,511103,150,2011
4.85,134,110,33.887491,-84.309188,53029,99,2017
4.87,40,30,33.652468,-84.492432,7697843,42,2016
4.89,40,35,33.53956,-84.577374,11311856,48,2014
5.0,15,11,33.746442,-84.372238,2253859,134,2018
4.96,152,140,33.927684,-84.343055,511103,155,2014
4.97,37,35,33.763413,-84.388602,7982582,130,2015
4.99,81,73,33.640695,-84.44519,6025007,58,2018
4.96,60,51,33.640655,-84.427646,6025007,112,2017
5.0,23,21,33.740676,-84.358236,8752492,209,2014
5.0,41,36,33.989753,-84.001209,7952644,49,2015
5.0,29,27,33.74053,-84.357869,8752492,129,2016
4.88,18,16,33.970512,-84.161462,8609349,159,2018
4.95,42,40,33.722786,-84.703698,3983888,84,2015
5.0,42,38,33.927109,-84.343284,511103,175,2017
4.83,9,6,33.757344,-84.348425,499566,189,2016
4.92,40,38,33.640694,-84.444701,5878338,130,2017
4.88,88,74,33.757548,-84.349273,499566,150,2014
5.0,1,1,33.850713,-84.36596,10872556,125,2016
4.84,38,32,33.7233,-84.703291,3983888,76,2018
4.92,76,71,33.668327,-84.417836,10413163,147,2015
5.0,5,5,33.807278,-84.045917,11258220,160,2014
4.85,35,27,33.709589,-84.266785,1661563,175,2019
4.97,32,29,33.653333,-84.492314,7868475,89,2014
4.98,72,59,33.927666,-84.34306,511103,116,2019
5.0,17,11,33.782872,-84.384256,8752492,136,2016
4.82,56,50,33.723699,-84.702829,3983888,56,2008
4.93,22,15,33.653788,-84.491291,7697843,64,2018
4.95,69,66,33.653412,-84.492217,7868475,90,2016
4.9,61,50,33.652998,-84.490885,7697843,55,2018
4.84,71,58,33.652323,-84.491513,7697843,29,2015
5.0,17,16,33.75397,-84.234782,15117491,78,2008
4.89,9,9,33.926688,-84.343004,511103,102,2018
4.93,19,15,33.810233,-84.45316,2052844,85,2015
5.0,2,2,33.852298,-84.367605,5513653,98,2018
5.0,45,40,33.653553,-84.492182,7868475,90,2015
5.0,21,19,33.765511,-84.387509,3991249,150,2020
4.98,54,44,33.875355,-84.461555,499566,149,2013
5.0,70,62,33.764041,-84.334534,1077705,195,2015
5.0,13,13,34.110042,-84.228422,10851739,130,2016
5.0,51,44,33.702353,-84.443573,1439133,209,2018
4.94,61,51,33.938981,-84.239727,6077494,123,2015
0.0,0,0,33.64092,-84.444136,10696094,70,2015
5.0,5,4,33.64054,-84.426852,7678058,250,2015
5.0,2,2,33.889415,-84.453633,12796797,120,2019
5.0,39,31,33.879187,-84.456395,6580855,65,2016
5.0,14,14,33.878293,-84.48794,9971230,180,2016
4.94,18,18,33.833257,-84.483681,4266637,156,2018
5.0,13,13,33.784923,-84.381204,11968412,64,2011
4.89,56,47,33.900611,-84.326224,4887223,245,2016
4.93,72,61,33.586691,-84.591842,1428350,299,2015
5.0,2,2,33.905743,-83.959959,1295660,98,2017
5.0,12,11,33.81319,-84.393162,9451897,140,2018
5.0,25,22,33.799778,-84.253865,1879749,205,2016
4.92,37,36,33.647454,-84.453073,8444510,32,2017
5.0,35,35,33.810451,-84.452199,1103338,300,2016
4.94,19,18,33.875559,-84.462533,499566,99,2019
4.97,41,34,33.878716,-84.456566,6580855,35,2015
5.0,41,39,33.668602,-84.418653,10413163,135,2015
